,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
1,32,145,118,144,223,290,416,517,774,1152,1163
2,40,115,116,159,194,289,425,587,837,1124,1071
3,29,77,70,99,155,179,228,348,481,634,650
4,14,55,47,54,93,97,165,201,209,310,196
5,7,37,45,49,66,74,125,176,213,351,321
6,104,446,379,553,643,740,1171,1509,1887,2561,2482
7,27,88,86,76,129,162,223,309,424,664,567
8,18,57,67,89,127,164,254,324,417,569,607
9,8,51,39,52,83,86,122,157,187,285,262
10,36,83,96,88,125,152,228,277,362,536,493
11,4,90,82,161,167,224,318,436,553,764,699
12,17,98,83,114,155,158,217,282,367,566,483
13,159,873,735,961,1227,1510,2106,2650,3084,4281,3990
14,59,280,272,334,408,478,654,836,1094,1654,1272
15,19,35,54,47,65,68,114,129,169,255,199
16,20,109,95,113,127,160,273,341,473,680,624
17,40,206,177,263,325,433,620,777,1020,1550,1310
18,23,75,58,79,105,108,191,233,331,549,565
19,12,66,47,83,110,155,216,281,290,520,469
21,8,216,219,280,376,425,595,774,903,1552,1109
22,46,169,156,179,224,282,440,559,821,1203,1140
23,3,22,20,28,39,39,64,69,103,185,176
24,20,98,83,105,101,186,249,321,434,690,595
25,53,230,209,256,336,428,607,731,970,1434,1427
26,40,140,116,158,211,275,404,502,688,1035,953
27,54,138,121,175,233,246,401,570,856,1142,1147
28,52,126,140,121,151,196,309,395,622,920,749
29,97,303,236,338,446,482,816,1134,1384,2427,1914
30,42,202,207,251,333,396,629,754,982,1382,1184
31,99,609,697,824,880,1054,1488,1822,2869,3545,3341
32,15,68,53,76,81,131,190,227,286,490,424
33,111,603,625,663,801,1175,1464,1669,2193,3475,3031
34,89,489,522,598,677,830,1184,1391,1872,2523,2541
35,103,441,368,513,552,742,1037,1417,1842,2536,2439
36,17,60,55,74,70,85,155,208,255,370,358
37,43,217,209,222,258,258,392,525,687,1074,966
38,163,507,408,621,706,946,1416,1439,1871,2706,2420
39,20,75,73,86,107,127,187,218,327,493,510
40,49,123,87,142,174,255,310,424,637,1044,814
41,22,77,77,94,114,161,271,317,477,683,634
42,69,215,213,240,349,466,609,767,1092,1575,1512
43,11,72,57,85,88,109,167,197,263,402,347
44,176,530,487,550,700,886,1161,1610,2091,3133,3134
45,36,220,211,292,333,378,640,841,1118,1630,1417
46,11,63,53,63,77,113,126,149,197,351,321
47,21,100,74,121,179,173,278,374,496,676,593
48,5,16,18,32,38,45,39,62,68,123,124
49,86,217,175,261,327,408,644,761,1109,1818,1628
50,40,131,101,140,189,223,390,444,718,1085,919
51,68,223,204,251,358,451,650,877,1170,1463,1297
52,14,34,48,49,45,78,145,174,254,371,341
53,18,67,60,76,134,169,244,272,416,593,473
54,111,311,325,437,564,646,895,1114,1428,1893,1972
55,9,37,42,63,73,86,157,223,342,478,439
56,69,184,157,210,277,376,592,762,891,1675,1405
57,63,271,286,411,505,653,914,1189,1594,2262,2228
58,18,51,52,66,78,111,181,210,285,405,412
59,237,650,644,797,1024,1380,2162,3134,4094,4911,4777
60,46,230,224,190,246,413,582,842,1176,1546,1585
61,19,94,72,81,112,138,183,273,324,538,470
62,123,292,269,375,517,697,1270,1844,2521,3535,3289
63,73,303,283,365,432,565,811,945,1215,1733,1534
64,66,317,278,338,401,550,793,1000,1316,1679,1707
65,26,94,66,82,142,189,231,305,353,610,516
66,23,132,138,190,231,289,355,422,612,773,805
67,87,412,383,498,711,787,1223,1491,1982,2825,2538
68,81,213,176,212,305,403,660,886,1263,1843,1735
69,134,732,585,744,863,1128,1783,2399,3087,4327,2965
70,24,67,54,67,80,119,201,252,331,529,483
71,56,162,136,179,207,288,449,620,811,1094,974
72,32,173,155,228,284,306,503,735,995,1482,1360
73,34,129,130,175,233,311,425,552,760,1145,967
74,46,217,187,215,296,363,533,671,867,1571,1469
75,891,2095,1611,1937,2311,2889,4282,4715,5520,7429,6735
76,126,374,346,504,688,778,1283,1693,2177,3519,2849
77,90,369,298,361,480,605,1060,1544,2154,2845,2600
78,107,388,310,432,535,691,1241,1731,2339,3223,3220
79,24,100,88,103,111,198,250,309,450,792,696
80,48,164,130,167,206,362,454,694,865,1356,1266
81,36,124,121,133,201,243,383,498,635,893,813
82,14,78,71,82,95,120,197,261,318,501,487
83,68,320,283,384,465,630,906,1292,1658,2378,2202
84,51,193,130,219,248,372,495,644,728,1140,1074
85,45,144,110,156,185,214,366,476,738,1332,1187
86,32,241,189,221,296,354,476,546,747,1124,983
87,47,181,180,214,236,279,432,540,690,1028,932
88,36,98,110,150,165,222,337,481,600,879,716
89,41,89,66,108,103,147,233,301,479,637,669
90,21,36,36,53,63,89,139,214,291,391,387
91,118,394,270,417,512,639,1128,1493,1941,2845,2415
92,203,607,446,624,886,1121,2122,2563,3335,4567,4048
93,126,465,268,423,533,646,968,1284,1683,2094,2201
94,196,489,391,509,567,803,1378,1712,2205,3068,2384
95,68,258,210,303,387,502,884,1271,1732,2323,2237
102,2,17,27,41,58,54,80,100,121,210,158
103,3,26,29,33,35,75,73,85,149,175,149
111,1,26,41,47,67,97,116,123,180,223,189
112,0,20,23,79,43,94,124,97,134,161,102
113,3,28,45,63,79,78,110,105,136,164,129
114,8,94,113,143,235,248,286,357,503,634,631
