,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
1,-39,-24,-31,-35,-20,-18,-23,-25,-16,-13,-4
2,-27,-42,-33,-28,-29,-16,-18,-11,-3,-9,-4
3,-18,-39,-37,-30,-12,-19,-31,-17,-13,-19,-8
4,-2,6,2,-10,23,0,12,6,-17,-14,-41
5,-44,-18,13,-5,2,-10,0,10,0,15,15
6,1,19,15,30,21,9,14,15,9,3,10
7,-8,-17,-8,-37,-15,-16,-24,-18,-15,-7,-13
8,-39,-47,-28,-25,-14,-11,-8,-7,-9,-12,4
9,-43,0,-13,-10,14,-7,-13,-12,-22,-17,-16
10,20,-23,1,-28,-17,-21,-21,-25,-25,-22,-21
11,-87,-22,-20,21,0,5,-2,4,0,-4,-4
12,-37,0,-3,3,13,-9,-17,-16,-17,-10,-16
13,-15,28,23,24,27,23,14,12,-2,-5,-2
14,-11,17,29,23,21,12,2,2,1,7,-10
15,23,-37,11,-24,-15,-30,-21,-30,-29,-25,-35
16,-42,-13,-14,-20,-28,-28,-18,-20,-16,-15,-14
17,-30,0,-3,11,10,15,9,6,5,11,3
18,-29,-35,-43,-39,-35,-47,-37,-40,-34,-23,-13
19,-50,-23,-38,-15,-9,1,-6,-5,-25,-6,-7
21,-85,15,33,33,44,28,20,22,8,30,3
22,-17,-16,-12,-22,-21,-22,-19,-20,-11,-9,-6
23,-76,-52,-50,-45,-38,-51,-46,-54,-48,-35,-31
24,-50,-32,-34,-35,-50,-28,-36,-35,-33,-26,-30
25,4,25,29,23,29,30,23,16,16,20,31
26,-11,-14,-19,-15,-9,-7,-10,-13,-9,-5,-4
27,-2,-31,-32,-23,-18,-32,-26,-18,-7,-13,-4
28,25,-16,6,-29,-29,-27,-23,-23,-8,-5,-15
29,11,-4,-15,-5,0,-14,-4,5,-3,19,4
30,-34,-13,1,-6,-1,-7,-3,-10,-11,-13,-18
31,-7,56,100,81,53,43,32,25,49,28,31
32,-15,6,-6,5,-11,14,9,2,-3,16,10
33,-16,26,48,21,17,34,10,-2,-3,7,2
34,-3,46,76,55,39,33,25,13,15,8,19
35,16,37,29,38,19,25,15,22,20,15,21
36,-28,-30,-26,-23,-41,-43,-31,-27,-32,-30,-25
