,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
1,6,28,22,27,41,53,74,91,135,198,198
2,7,21,22,30,36,54,79,109,156,209,199
3,8,22,20,29,45,52,66,101,140,185,190
4,10,39,33,37,63,65,108,130,134,196,123
5,6,30,36,39,52,58,97,135,161,262,237
6,10,44,37,53,62,70,110,141,174,236,227
7,9,31,30,26,43,54,74,101,137,213,181
8,6,20,23,31,44,57,89,113,146,200,214
9,6,37,28,37,58,60,84,107,126,190,173
10,12,28,33,30,42,51,76,92,120,178,163
11,1,29,26,50,51,68,95,128,160,219,198
12,6,37,31,43,58,58,80,103,134,205,175
13,9,47,39,51,65,79,110,137,157,218,202
14,9,43,42,51,62,72,98,125,162,244,187
15,13,23,36,31,43,45,76,86,113,171,134
16,6,32,28,33,37,46,79,98,135,193,177
17,7,37,31,46,56,74,105,130,168,253,212
18,7,24,18,25,33,34,61,74,105,175,181
19,5,28,20,35,46,65,90,117,120,214,193
21,2,43,43,55,73,83,115,150,174,298,212
22,8,31,28,32,40,50,78,98,143,207,195
23,2,18,16,23,32,32,52,56,83,149,142
24,5,25,21,27,25,47,62,79,107,169,145
25,11,46,41,51,66,84,118,142,186,274,272
26,9,32,26,35,46,60,87,107,145,216,198
27,10,25,22,32,42,44,71,100,150,198,197
28,13,31,34,29,36,47,74,94,147,217,176
29,11,35,27,39,51,55,93,128,156,273,214
30,7,32,32,39,51,60,93,110,142,199,169
31,9,57,64,75,78,92,128,154,239,291,271
32,9,39,30,43,46,73,106,125,156,264,227
33,9,46,48,50,60,86,106,120,156,244,211
34,10,54,57,64,71,86,120,139,185,247,246
35,12,50,41,57,61,80,111,150,193,262,249
36,7,26,24,32,30,37,67,89,110,159,154
37,8,39,37,39,45,45,68,90,118,183,164
38,15,46,37,55,62,83,122,123,159,228,202
39,8,30,29,34,42,50,73,85,126,189,195
40,15,37,26,42,50,72,87,117,173,280,216
41,7,24,24,29,36,50,84,97,146,209,194
42,9,29,29,33,47,63,82,103,147,212,204
43,5,34,27,40,41,50,77,90,119,181,156
44,16,46,42,47,59,74,95,130,168,249,247
45,6,35,34,46,53,59,100,130,173,250,217
46,7,39,33,38,47,68,75,88,115,203,185
47,7,33,24,39,57,55,87,116,153,207,181
48,7,22,24,43,50,59,51,81,88,160,161
49,12,29,24,35,44,54,85,99,144,235,209
50,8,27,21,29,39,46,79,90,145,218,184
51,12,39,36,44,63,80,115,155,207,258,229
52,7,18,25,26,24,41,77,93,136,199,184
53,6,23,21,26,46,57,82,91,138,196,155
54,16,43,45,61,78,90,124,154,197,259,270
55,5,19,22,33,38,44,81,115,176,246,226
56,11,28,24,32,41,55,86,110,127,236,196
57,6,26,28,40,49,63,88,115,153,217,213
58,8,23,23,29,35,50,81,95,129,184,187
59,9,25,25,31,40,54,84,122,160,191,186
60,6,30,29,24,31,53,74,106,148,193,197
61,6,32,25,28,38,47,62,93,111,184,161
62,9,20,19,26,36,48,87,127,173,242,225
63,12,50,46,60,70,92,131,152,194,276,243
64,11,52,46,55,65,88,126,157,205,259,262
65,12,42,29,37,63,84,102,134,154,266,225
66,6,33,34,47,56,69,83,98,140,175,181
67,8,40,37,48,67,74,114,138,183,259,231
68,11,30,25,29,42,55,90,120,170,247,231
69,8,46,37,46,53,69,108,144,184,256,174
70,10,29,23,29,34,51,86,107,140,222,202
71,10,30,25,33,38,53,82,113,147,197,176
72,6,32,29,42,52,56,91,133,179,265,242
73,9,34,34,45,60,79,107,137,187,280,235
74,7,34,29,33,44,54,78,96,123,219,203
75,42,98,75,90,107,134,197,216,252,336,303
76,10,30,28,41,55,63,103,136,175,282,228
77,8,31,25,29,39,48,84,121,167,218,197
78,8,29,23,32,39,50,89,124,167,229,228
79,7,29,25,29,31,56,70,86,124,217,190
80,9,29,23,30,37,64,81,123,153,239,222
81,10,36,35,38,57,68,106,136,172,240,217
82,7,37,34,38,44,54,88,115,137,212,204
83,8,35,31,41,49,66,93,131,166,237,218
84,10,38,26,43,48,71,94,121,135,212,198
85,8,26,20,28,32,37,62,80,121,216,190
86,8,60,47,54,72,86,115,130,177,265,230
87,13,51,50,60,65,77,118,147,186,275,248
88,9,26,29,39,43,58,89,127,158,231,189
89,12,27,20,32,31,44,69,89,140,186,195
90,15,26,26,38,45,64,99,152,204,275,272
91,10,34,23,36,44,54,95,125,161,236,199
92,14,42,31,42,60,75,140,167,216,295,259
93,9,33,19,30,37,44,66,86,112,139,145
94,16,40,31,41,45,63,107,132,169,234,181
95,6,23,19,27,34,44,77,110,149,199,191
102,2,14,22,33,45,41,60,74,87,149,110
103,2,18,20,22,23,49,47,54,93,108,91
111,0,7,10,12,17,24,29,31,45,56,47
112,0,5,6,20,11,24,31,24,34,40,26
113,2,17,27,36,43,40,55,51,64,75,57
114,1,13,16,19,31,33,37,46,63,78,77
